"";"";"";"";"widescreen";""
"68";"slow";"-0.450938018496403";"-0.113158678139247";"1.47482950979639";"108"
"69";"edward";"-1.71033723741327";"-1.91673055142111";"1.47364418507429";"109"
"70";"gilleard";"-1.76407913580264";"-1.99038369540142";"1.46826412786341";"110"
"71";"rossdraws";"2.88046162554902";"-0.367385565754633";"1.46297406752959";"111"
"72";"frank";"2.86982423005544";"-0.372533199428493";"1.46297406752959";"112"
"73";"resemble";"-0.181899534320991";"-0.0871346353759689";"1.46289504588145";"113"
"74";"ultrawide";"-0.372843049140256";"0.0488782598284186";"1.46065829422992";"115"
"75";"trident";"-0.116896198724702";"0.169436766460769";"1.44975550183236";"118"
"76";"hopper";"-1.6523610364426";"-1.83564440125483";"1.4421233276495";"119"
"77";"gurney";"-0.234162476895043";"-0.0554301728106134";"1.44112238677305";"122"
"78";"prague";"-0.206293317511723";"-0.0723839145847148";"1.44030143965071";"123"
"79";"rockwell";"-1.34399906671299";"-1.95064194218017";"1.43426945384268";"125"
"80";"norman";"-1.34399906671299";"-1.95064194218017";"1.43426945384268";"126"
"81";"shadow";"-1.26494648609676";"-1.37917816848216";"1.43374264285508";"127"
"82";"fallout";"-0.456845440102591";"0.0527617092258915";"1.43215781980071";"128"
"83";"gent";"-0.236574855122046";"-0.200731179494";"1.4310932225966";"129"
"84";"stiavnica";"-0.207564581703679";"-0.101724404107527";"1.4303864178549";"130"
"85";"banska";"-0.207564581703679";"-0.101724404107527";"1.4303864178549";"131"
"86";"matte";"-0.325611964379705";"0.048223029347477";"1.42810357024196";"132"
"87";"digital";"-0.117468849752081";"-0.0175586120666093";"1.42623339123598";"133"
"88";"david";"-0.503231608828654";"-0.299636261241618";"1.42078528760587";"134"
"89";"caspar";"-0.503231608828654";"-0.299636261241618";"1.42078528760587";"135"
"90";"angle";"-0.280871542296535";"-0.0793215391272724";"1.41998848598713";"136"
"91";"seaside";"-0.433284835305118";"-0.108782342276906";"1.41452282199077";"137"
"92";"concept";"0.214834049129681";"0.0749737238973299";"1.39694489537115";"139"
"93";"incredible";"-0.239900629223132";"-0.163898420779882";"1.38578089252557";"141"
"94";"exquisite";"-0.360506527670409";"0.0362915650479737";"1.37603488925495";"142"
"95";"tower";"-0.623734565779991";"-0.380042483836774";"1.37218697399968";"143"
"96";"windmill";"3.35069120382486";"-0.418320659317188";"1.36984047005908";"144"
"97";"volumetric";"0.284404114386122";"-0.123912937141965";"1.36654351129501";"146"
"98";"archdaily";"-0.450938018496403";"-0.113158678139247";"1.35037041397566";"148"
"99";"venice";"-0.210347035439215";"-0.0846903967274235";"1.32726097198623";"151"
"100";"nice";"-0.236574855122046";"-0.200731179493999";"1.32426692954003";"152"
"101";"highly";"-0.287910829872671";"-0.0221402941593761";"1.31475140607649";"153"
"102";"friedrich";"-0.463488637439313";"-0.226900468972113";"1.31054130826724";"155"
"103";"solter";"-0.372843049140256";"0.0488782598284186";"1.30587244588963";"157"
"104";"jonathan";"-0.372843049140256";"0.0488782598284186";"1.30587244588963";"158"
"105";"tone";"2.99200133647235";"-0.370425291599511";"1.30552343361034";"159"
"106";"intricate";"-0.25839534293139";"-0.00602685418084326";"1.30191477834527";"160"
"107";"castle";"-0.213937778541926";"0.0499344194044902";"1.3017918557815";"161"
"108";"house";"-0.245658076327767";"-0.0358711153390354";"1.30056043509798";"162"
"109";"ufo";"-0.429672671089929";"0.0503450643990796";"1.29182634793272";"163"
"110";"streetview";"-0.432321594696023";"-0.0881649610877818";"1.29116563915243";"164"
"111";"glow";"-0.291221227091914";"0.0374707492645025";"1.28338859194797";"165"
"112";"hd";"-0.282147062719601";"0.178279660582198";"1.27765732741203";"166"
"113";"ultra";"-0.276618861574242";"-0.0267606642064158";"1.27765732741203";"167"
"114";"countryside";"-0.233433168357622";"-0.177921360331365";"1.27243311845165";"168"
"115";"unreal";"-0.324481416208639";"-0.0230514726717178";"1.27128071941628";"169"
"116";"painter";"-1.71172791047112";"-1.92759098777573";"1.27093609722856";"170"
"117";"engine";"-0.321819238813324";"-0.0207770285203799";"1.26736695278756";"171"
"118";"flow";"-0.226011741585839";"-0.0998311046027666";"1.26447827253888";"172"
