"";"V1"
"1024";0
"1025";0
"1026";5
"1027";10
"1028";13
"1029";19
"1030";19
"1031";15
"1032";12
"1033";13
"1034";0
"1035";12
"1036";18
"1037";14
"1038";12
"1039";0
"1040";6
"1041";4
"1042";4
"1043";0
"1044";1
"1045";0
"1046";19
"1047";7
"1048";0
"1049";0
"1050";11
"1051";0
"1052";16
"1053";0
"1054";19
"1055";0
"1056";15
"1057";18
"1058";13
"1059";15
"1060";2
"1061";0
"1062";8
"1063";9
"1064";12
"1065";0
"1066";3
"1067";2
"1068";8
"1069";12
"1070";0
"1071";3
"1072";7
"1073";16
"1074";0
"1075";6
"1076";6
"1077";8
"1078";0
"1079";9
"1080";12
"1081";6
"1082";11
"1083";0
"1084";8
"1085";1
"1086";0
"1087";2
"1088";0
"1089";5
"1090";14
"1091";18
"1092";17
"1093";11
"1094";15
"1095";6
"1096";8
"1097";0
"1098";5
"1099";0
"1100";12
"1101";13
"1102";0
"1103";13
"1104";0
"1105";11
"1106";19
"1107";1
"1108";0
"1109";11
"1110";16
"1111";15
"1112";16
"1113";1
"1114";8
"1115";14
"1116";0
"1117";12
"1118";16
"1119";0
"1120";1
"1121";0
"1122";9
"1123";18
"1124";0
"1125";11
"1126";11
"1127";11
"1128";11
"1129";12
"1130";18
"1131";6
"1132";18
"1133";12
"1134";0
"1135";8
"1136";15
"1137";2
"1138";4
"1139";0
"1140";3
"1141";6
"1142";7
"1143";7
"1144";4
"1145";0
"1146";8
"1147";12
"1148";10
"1149";16
"1150";19
"1151";18
"1152";14
"1153";2
"1154";18
"1155";11
"1156";0
"1157";17
"1158";17
"1159";0
"1160";0
"1161";0
"1162";0
"1163";1
"1164";15
"1165";6
"1166";6
"1167";0
"1168";8
"1169";19
"1170";12
"1171";1
"1172";9
"1173";16
"1174";10
"1175";1
"1176";0
"1177";12
"1178";5
"1179";18
"1180";8
"1181";18
"1182";0
"1183";18
"1184";16
"1185";18
"1186";3
"1187";0
"1188";6
"1189";11
"1190";6
"1191";5
"1192";4
"1193";14
"1194";4
"1195";11
"1196";2
"1197";17
"1198";17
"1199";8
"1200";0
"1201";5
"1202";0
"1203";8
"1204";16
"1205";0
"1206";0
"1207";14
"1208";16
"1209";0
"1210";5
"1211";0
"1212";18
"1213";8
"1214";16
"1215";8
"1216";18
"1217";14
"1218";11
"1219";19
"1220";16
"1221";0
"1222";2
"1223";0
"1224";18
"1225";16
"1226";18
"1227";8
"1228";11
"1229";12
"1230";8
"1231";11
"1232";0
"1233";0
"1234";4
"1235";6
"1236";0
"1237";12
"1238";0
"1239";14
"1240";12
"1241";6
"1242";4
"1243";12
"1244";2
"1245";2
"1246";18
"1247";19
"1248";18
"1249";18
"1250";5
"1251";14
"1252";6
"1253";0
"1254";17
"1255";8
"1256";2
"1257";0
"1258";14
"1259";5
"1260";15
"1261";1
"1262";12
"1263";13
"1264";16
"1265";10
"1266";17
"1267";10
"1268";0
"1269";7
"1270";0
"1271";0
"1272";1
"1273";13
"1274";8
"1275";9
"1276";0
"1277";9
"1278";18
"1279";0
"1280";12
"1281";12
"1282";18
"1283";0
"1284";15
"1285";14
"1286";19
"1287";7
"1288";15
"1289";2
"1290";10
"1291";8
"1292";0
"1293";2
"1294";14
"1295";0
"1296";0
"1297";7
"1298";0
"1299";2
"1300";0
"1301";8
"1302";4
"1303";12
"1304";17
"1305";0
"1306";8
"1307";3
"1308";14
"1309";13
"1310";0
"1311";5
"1312";16
"1313";0
"1314";14
"1315";8
"1316";19
"1317";0
"1318";5
"1319";15
"1320";7
"1321";3
"1322";0
"1323";12
"1324";0
"1325";8
"1326";0
"1327";0
"1328";18
"1329";8
"1330";0
"1331";15
"1332";18
"1333";7
"1334";18
"1335";16
"1336";4
"1337";0
"1338";12
"1339";3
"1340";0
"1341";18
"1342";14
"1343";13
"1344";11
"1345";0
"1346";0
"1347";4
"1348";11
"1349";11
"1350";15
"1351";0
"1352";18
"1353";0
"1354";11
"1355";16
"1356";2
"1357";19
"1358";0
"1359";3
"1360";8
"1361";17
"1362";9
"1363";0
"1364";16
"1365";0
"1366";2
"1367";0
"1368";0
"1369";0
"1370";0
"1371";14
"1372";14
"1373";13
"1374";2
"1375";15
"1376";0
"1377";18
"1378";0
"1379";0
"1380";5
"1381";19
"1382";16
"1383";16
"1384";19
"1385";14
"1386";0
"1387";0
"1388";0
"1389";0
"1390";14
"1391";4
"1392";0
"1393";0
"1394";2
"1395";8
"1396";14
"1397";19
"1398";19
"1399";4
"1400";2
"1401";0
"1402";8
"1403";14
"1404";0
"1405";19
"1406";0
"1407";0
"1408";16
"1409";19
"1410";0
"1411";18
"1412";8
"1413";11
"1414";14
"1415";18
"1416";0
"1417";12
"1418";4
"1419";0
"1420";10
"1421";14
