"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"116";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"117";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"118";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"119";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"120";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"121";2;5;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
"122";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"123";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"124";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"125";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"126";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"127";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"128";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"129";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"130";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"131";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"132";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"133";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"134";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"135";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"136";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"137";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"138";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"139";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"140";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"141";2;5;6;8;10;13;14;17;18;20;22;24;26;26;26;26;26;26;26
"142";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"143";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"144";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"145";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"146";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"147";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"148";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"149";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"150";2;5;6;8;10;13;14;17;18;20;22;24;26;26;26;26;26;26;26
"151";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"152";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"153";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"154";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"155";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"156";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"157";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15
