realism;0;0;0;4;12;4;0;0;0;18
pristine;43;0;0;0;0;0;0;0;0;3
cloud;0;0;0;0;2;0;0;3;2;34
vivid;0;0;4;0;13;0;0;12;0;16
spitzweg;0;0;44;0;0;0;0;0;0;1
snow;43;0;0;0;0;0;0;0;0;2
rene;0;0;44;0;0;0;0;0;0;1
game;0;1;0;0;6;6;0;2;4;19
carl;0;0;41;0;0;0;0;0;0;2
simon;0;0;31;0;0;0;0;7;1;4
scene;0;0;0;0;1;0;4;19;0;11
roman;0;15;0;3;0;0;0;3;0;9
puddle;43;0;0;0;0;0;0;0;0;1
mullins;0;0;0;0;0;33;0;4;0;7
extremely;0;0;6;0;11;0;0;3;0;18
craig;0;0;0;0;0;33;0;4;0;7
aerial;0;0;0;0;2;0;0;0;34;3
photography;0;0;0;0;0;0;0;0;26;11
england;0;0;0;0;0;37;0;0;0;2
empty;0;1;24;0;6;0;0;4;0;7
sunset;0;0;0;5;0;0;15;7;1;14
page;38;0;0;0;2;0;0;0;0;0
melt;42;0;0;0;0;0;0;0;0;0
huge;0;0;0;0;11;0;0;8;0;18
drip;42;0;0;0;0;0;0;0;0;0
creek;42;0;0;0;0;0;0;0;0;0
lake;0;1;0;0;1;0;0;20;4;14
star;0;0;0;0;29;0;0;0;0;4
stalenhag;0;0;34;0;0;0;0;1;1;2
stain;36;0;0;0;1;0;0;0;0;2
shinkai;0;0;0;13;2;0;0;2;2;12
rossdraws;23;0;0;0;1;0;0;0;0;4
europe;0;30;0;0;0;0;0;0;0;4
yellow;18;0;0;0;16;0;0;2;0;2
tattoo;0;0;0;0;38;0;0;0;0;0
riabovitchev;35;0;0;0;0;0;0;0;0;3
prague;0;0;0;0;31;0;0;1;1;3
makoto;0;0;0;13;2;0;0;2;2;11
french;17;0;0;10;0;0;0;0;5;6
andrei;35;0;0;0;0;0;0;0;0;3
neo;0;0;0;0;0;0;0;31;0;0
garden;4;0;0;0;0;0;0;2;0;13
design;0;2;2;1;4;0;1;0;0;5
carcassonne;21;0;0;0;1;0;0;0;0;0
weather;0;4;0;0;0;24;0;0;0;8
wall;0;0;0;0;0;1;9;0;1;20
stand;2;1;0;0;21;0;0;0;0;11
rome;0;0;16;0;2;0;0;1;0;13
close;3;0;0;7;1;7;0;3;0;7
artwork;1;17;6;0;0;0;0;1;0;9
venice;0;0;0;0;28;0;0;3;0;4
symmetry;0;0;28;0;0;0;0;0;0;1
kinkade;0;0;0;0;1;0;0;0;6;15
giant;0;5;0;0;1;0;0;4;0;11
alp;2;0;0;0;1;0;0;13;4;5
stanley;28;0;0;0;2;0;0;0;0;1
ruin;0;7;1;1;6;1;0;1;0;11
futuristic;0;1;0;4;0;0;0;4;1;20
dynamic;0;0;0;0;0;0;0;1;0;18
black;0;4;3;0;1;1;0;0;3;13
road;2;0;14;0;0;0;1;0;0;9
lau;28;0;0;0;1;0;0;0;0;1
draw;0;9;0;0;2;0;0;4;0;9
cart;33;0;0;0;0;0;0;0;0;0
canal;0;0;0;0;9;0;0;0;0;12
super;0;0;0;1;18;0;0;4;0;4
rutkwowski;0;0;0;0;0;30;0;0;0;2
photograph;0;1;0;2;0;0;0;6;0;12
heavy;0;0;0;0;0;0;0;0;2;5
hdr;0;0;0;0;3;0;0;18;0;10
future;0;2;0;0;15;0;0;0;0;3
berlin;0;0;0;0;3;0;0;16;0;4
length;0;0;31;0;0;0;0;0;0;0
