"";"classe 1";"classe 2"
"ilsted";-0,323;0,323
"illuminate";-0,323;0,323
"humongous";-0,323;0,323
"hospitable";27,961;-27,961
"horizon";-0,323;0,323
"holy";1,914;-1,914
"hit";-0,323;0,323
"history";1,914;-1,914
"hiroshi";-0,323;0,323
"hilly";-0,323;0,323
"higer";-0,323;0,323
"hide";1,914;-1,914
"heur";-0,323;0,323
"heem";-0,323;0,323
"hazy";-0,323;0,323
"hat";-0,323;0,323
"happy";-0,323;0,323
"hans";1,914;-1,914
"hampshire";-0,323;0,323
"halle";-0,323;0,323
"habitable";27,961;-27,961
"gustav";-0,323;0,323
"grotesque";-0,323;0,323
"grimdark";-0,323;0,323
"greenery";-0,323;0,323
"governmental";-0,323;0,323
"gondola";-0,323;0,323
"girod";-0,323;0,323
"gigantic";1,914;-1,914
"giancola";-0,323;0,323
"giacomo";-0,323;0,323
"ghost";-0,323;0,323
"ghailan";-0,323;0,323
"genndy";-0,323;0,323
"gdansk";-0,323;0,323
"froud";1,914;-1,914
"frederic";-0,323;0,323
"france";11,127;-11,127
"fort";-0,323;0,323
"flash";-0,323;0,323
"fishpond";-0,323;0,323
"finnian";-0,323;0,323
"finland";11,127;-11,127
"figurine";-0,323;0,323
"feng";-0,323;0,323
"famine";-0,323;0,323
"export";27,961;-27,961
"even";-0,323;0,323
"eu";-0,323;0,323
"erase";27,961;-27,961
"equator";27,961;-27,961
"emma";-0,323;0,323
"edwin";-0,323;0,323
"eat";-0,323;0,323
"early";-0,323;0,323
"drapery";-0,323;0,323
"doré";-0,323;0,323
"donato";-0,323;0,323
"dom";-0,323;0,323
"district";-0,323;0,323
"discover";-0,323;0,323
"dimly";-0,323;0,323
"dim";-0,323;0,323
"devil";-0,323;0,323
"delville";-0,323;0,323
"decorate";-0,323;0,323
"dean";-0,323;0,323
"davidsz";-0,323;0,323
"darrow";-0,323;0,323
"daniel";-0,323;0,323
"cumulonimbus";-0,323;0,323
"crumble";-0,323;0,323
"create";11,127;-11,127
"count";-0,323;0,323
"copenhagen";-0,323;0,323
"cool";-0,323;0,323
"concrete";-0,323;0,323
"complimentary";-0,323;0,323
"colums";27,961;-27,961
"coastline";27,961;-27,961
"coastal";1,914;-1,914
"clown";-0,323;0,323
"circuit";-0,323;0,323
"churn";27,961;-27,961
"christmas";-0,323;0,323
"child";11,127;-11,127
"chain";1,914;-1,914
"central";-0,323;0,323
"catedral";-0,323;0,323
"cat";-0,323;0,323
"cast";-0,323;0,323
"cartoony";-0,323;0,323
"card";-0,323;0,323
"cage";-0,323;0,323
"bury";1,914;-1,914
"burattini";-0,323;0,323
"brian";1,914;-1,914
"breitling";-0,323;0,323
"bonheur";-0,323;0,323
"bologna";-0,323;0,323
"blevins";-0,323;0,323
"blender";-0,323;0,323
"biomes";27,961;-27,961
"bill";-0,323;0,323
"bike";1,914;-1,914
"ayan";-0,323;0,323
"aux";-0,323;0,323
"aublet";-0,323;0,323
"atlas";27,961;-27,961
"atey";-0,323;0,323
"ashford";-0,323;0,323
"ariel";-0,323;0,323
"antiquity";1,914;-1,914
"animate";-0,323;0,323
"amstel";-0,323;0,323
"allyway";-0,323;0,323
"alienate";-0,323;0,323
"aivazovski";-0,323;0,323
"africa";-0,323;0,323
"adrien";-0,323;0,323
"a";-3,942;3,942
"of";17,768;-17,768
"by";-57,982;57,982
"and";-22,663;22,663
"the";2,569;-2,569
"in";-6,544;6,544
"on";-20,254;20,254
"with";-4,681;4,681
"k";-21,415;21,415
"8";-25,997;25,997
"from";-3,801;3,801
"at";-1,574;1,574
"very";-5,393;5,393
"4";-0,839;0,839
"an";-0,976;0,976
"old";0,292;-0,292
"to";-0,005;0,005
"5";-2,049;2,049
"0";8,047;-8,047
"d";-4,161;4,161
"for";-0,106;0,106
"1";-0,719;0,719
"2";11,592;-11,592
"3";-0,001;0,001
"is";-0,111;0,111
"s";15,947;-15,947
"over";-0,214;0,214
"9";-4,302;4,302
"under";-4,415;4,415
"up";-1,418;1,418
"make";5,093;-5,093
"are";-2,621;2,621
"no";-0,678;0,678
"above";-2,843;2,843
"6";-2,955;2,955
"all";4,971;-4,971
"during";-2,51;2,51
"next";-1,519;1,519
"looking";-2,732;2,732
"through";-2,621;2,621
"as";10,534;-10,534
"one";-0,765;0,765
"down";-2,51;2,51
"7";-0,16;0,16
"r";50,205;-50,205
"near";-1,738;1,738
"into";-0,512;0,512
"still";0,812;-0,812
"like";-0,433;0,433
"after";0,812;-0,812
"but";25,076;-25,076
"behind";-1,738;1,738
"many";-1,628;1,628
"new";23,609;-23,609
"that";0,338;-0,338
"out";10,904;-10,904
"few";0,001;-0,001
"being";-1,519;1,519
"it";2,674;-2,674
"or";8,983;-8,983
"his";7,429;-7,429
"each";50,205;-50,205
"within";-1,082;1,082
"where";10,539;-10,539
"around";-0,973;0,973
"alone";-0,973;0,973
"this";8,817;-8,817
"several";-0,865;0,865
"its";-0,756;0,756
"has";2,855;-2,855
"other";0,168;-0,168
"not";56,031;-56,031
"more";8,817;-8,817
"j";19,507;-19,507
"along";8,817;-8,817
"two";-0,648;0,648
"than";11,158;-11,158
"seen";-0,648;0,648
"below";-0,648;0,648
"any";11,158;-11,158
"while";-0,539;0,539
"way";-0,539;0,539
"really";-0,539;0,539
"outside";-0,431;0,431
"looks";-0,539;0,539
"between";-0,539;0,539
"65";-0,539;0,539
"2050";-0,539;0,539
"towards";-0,431;0,431
"th";-0,431;0,431
"so";-0,431;0,431
"far";-0,431;0,431
"f";-0,431;0,431
"com";1,07;-1,07
"your";-0,323;0,323
"without";1,914;-1,914
"whole";1,914;-1,914
"v";-0,323;0,323
"their";11,127;-11,127
"somewhere";27,961;-27,961
"novel";-0,323;0,323
"most";-0,323;0,323
"m";-0,323;0,323
"here";1,914;-1,914
"her";-0,323;0,323
"h";-0,323;0,323
"gets";-0,323;0,323
"every";27,961;-27,961
"containing";-0,323;0,323
"co";-0,323;0,323
"about";-0,323;0,323
"672";-0,323;0,323
"1680";-0,323;0,323
"*truc_0";0;0
