"";"classe 1";"classe 2"
"caspar";0,001;-0,001
"beksinski";-1,191;1,191
"battle";-1,082;1,082
"apocalyptic";-0,756;0,756
"alexander";1,07;-1,07
"wideshot";-1,082;1,082
"table";22,298;-22,298
"stylize";-0,648;0,648
"streetview";-1,082;1,082
"stefan";-0,431;0,431
"space";4,729;-4,729
"soviet";-0,539;0,539
"solter";-1,082;1,082
"skyline";-1,082;1,082
"sculpture";18,054;-18,054
"sci";-1,082;1,082
"process";-0,973;0,973
"pranckevicius";-0,648;0,648
"pokemon";-1,082;1,082
"pencil";0,001;-0,001
"organ";-1,082;1,082
"music";-1,082;1,082
"lot";0,001;-0,001
"lisbon";-0,973;0,973
"jonathan";-1,082;1,082
"ighting";-1,082;1,082
"hour";-1,082;1,082
"heartstone";-0,323;0,323
"hardturm";-1,082;1,082
"guard";-0,431;0,431
"grossmünster";-1,082;1,082
"gediminas";-0,648;0,648
"fi";-1,082;1,082
"fae";-0,323;0,323
"daylight";-1,082;1,082
"crystal";-1,082;1,082
"clean";-0,973;0,973
"chalet";-1,082;1,082
"budapest";-1,082;1,082
"bloom";-0,973;0,973
"bloodborne";-1,082;1,082
"alpine";-1,082;1,082
"alan";-1,082;1,082
"zdzis";-0,973;0,973
"volkshalle";-0,973;0,973
"vast";0,02;-0,02
"ukrainian";-0,865;0,865
"tooth";-0,431;0,431
"throne";-0,973;0,973
"symbol";-0,973;0,973
"steve";-0,973;0,973
"steam";-0,323;0,323
"starry";-0,973;0,973
"sheild";-0,973;0,973
"sargent";-0,539;0,539
"rural";-0,865;0,865
"robert";-0,431;0,431
"pipe";-0,973;0,973
"peak";-0,973;0,973
"pastel";-0,756;0,756
"mediterranean";-0,973;0,973
"mark";-0,431;0,431
"lithuania";-0,323;0,323
"lit";-0,973;0,973
"lamp";-0,973;0,973
"instrument";-0,973;0,973
"human";-0,865;0,865
"grid";-0,973;0,973
"front";-0,865;0,865
"fog";-0,973;0,973
"farm";-0,323;0,323
"entertwined";-0,973;0,973
"drone";-0,648;0,648
"dieselpunk";-0,648;0,648
"curve";-0,973;0,973
"communist";-0,431;0,431
"choi";-0,973;0,973
"bell";-0,973;0,973
"back";-0,865;0,865
"aw";-0,973;0,973
"artistic";-0,973;0,973
"army";0,072;-0,072
"architectural";-0,756;0,756
"archdaily";-0,973;0,973
"accurate";64,762;-64,762
"zabrocki";-0,865;0,865
"wu";-0,323;0,323
"wood";-0,431;0,431
"woman";25,573;-25,573
"vladimir";-0,431;0,431
"tudor";-0,865;0,865
"trident";-0,865;0,865
"tolkien";46,662;-46,662
"tile";-0,756;0,756
"stålenhag";-0,865;0,865
"stockholm";-0,865;0,865
"snowfall";-0,865;0,865
"scheme";-0,756;0,756
"rust";-0,865;0,865
