"";"";"";"";"puddle";""
"34";"slow";"-0.408589792179929";"0.578095355435008";"1.47801380479265";"79"
"35";"rossdraws";"3.03625839491946";"-0.205904798808226";"1.46804565914726";"81"
"36";"frank";"3.02919859157841";"-0.217385602146557";"1.46804565914726";"82"
"37";"ultrawide";"-0.3395461356829";"0.314149124814478";"1.46411645981779";"84"
"38";"smooth";"-0.128294136309192";"0.394264822945589";"1.4522552660043";"86"
"39";"highly";"-0.228274646726052";"0.341542628025381";"1.45043785798979";"87"
"40";"gurney";"-0.231778727634788";"0.268803488989202";"1.44800919576118";"90"
"41";"hopper";"-1.5264789655829";"1.37732604425887";"1.44683166255943";"91"
"42";"shadow";"-1.17629626120026";"1.08789790725352";"1.44009151157647";"92"
"43";"gent";"-0.236551541067373";"0.308922956093048";"1.43452276080985";"93"
"44";"stiavnica";"-0.188792447382928";"0.364375884046107";"1.43417318064058";"94"
"45";"banska";"-0.188792447382928";"0.364375884046107";"1.43417318064058";"95"
"46";"hyperdetailed";"-0.310287195345103";"0.12734169418728";"1.42066834673298";"96"
"47";"seaside";"-0.397182790557368";"0.542228263043197";"1.4179882321019";"97"
"48";"demura";"-0.0740312791598483";"0.469152740206566";"1.4173524459461";"98"
"49";"artem";"-0.0740312791598483";"0.469152740206566";"1.4173524459461";"99"
"50";"concept";"0.224891576257399";"0.148140649480992";"1.39892691339853";"100"
"51";"minimalist";"-1.71066085099233";"0.863710211856125";"1.39336429561733";"101"
"52";"incredible";"-0.24123877195295";"0.287425261511746";"1.3896640610771";"102"
"53";"exquisite";"-0.322697052491878";"0.29752024264208";"1.38014771202474";"103"
"54";"norman";"-1.11239307567948";"1.30559611518422";"1.37968364946085";"105"
"55";"windmill";"3.52353692632679";"-0.27205879690634";"1.37417009556306";"106"
"56";"archdaily";"-0.408589792179928";"0.578095355435008";"1.35367365827005";"107"
"57";"sense";"-1.77743360415764";"1.62325320376399";"1.3509833219966";"108"
"58";"nestle";"-0.188792447382928";"0.364375884046107";"1.34864869887785";"109"
"59";"angle";"-0.292016970312554";"0.172265605391372";"1.3457600627423";"110"
"60";"krenz";"-0.0983373930293966";"0.441027568586224";"1.34334162215606";"112"
"61";"cushart";"-0.0983373930293966";"0.441027568586224";"1.34334162215606";"113"
"62";"digital";"-0.0697427647416111";"0.29099471986695";"1.34186152833997";"114"
"63";"peaceful";"-0.241573574159063";"0.285889711898796";"1.33726792225605";"115"
"64";"nice";"-0.236551541067373";"0.308922956093048";"1.32776588350301";"116"
"65";"neo";"-0.298018005968089";"0.179526506813081";"1.32692566449968";"117"
"66";"matte";"-0.262845082029758";"0.343606396174056";"1.31063236655181";"119"
"67";"tone";"3.14269704476025";"-0.228492079538388";"1.31024803279846";"120"
"68";"solter";"-0.3395461356829";"0.314149124814478";"1.30942621275141";"121"
"69";"jonathan";"-0.3395461356829";"0.314149124814478";"1.30942621275141";"122"
