"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"octane";-0,329543642894075;0,321970857298464;-0,416172564979098;-0,168211835078997;0,576454401104225;1,00064168851625;-0,484319631187124;-0,0527787970127933;-0,525114211878471;-0,219187903597749;0,214151050255593;-0,276807014851103;-0,111881992829541;0,383414562599663;0,665552374284119;-0,322133371164021;-0,0351045274915644;-0,349266889933673;0,08120380351747;0,068262075688513;0,109905892657865;0,0147488233452485;0,14998900871784;0,407321710223131;0,087711099767486;0,000973466250195614;0,0798841198322498;0,000765377513582126;0,000730605521733242;0,00122066563039592;0,000199417340313895;0,00234196144311591;0,00705678696803904;0,00165315649612797;1,96321921689362e-05;0,00194337838006536;0,00704773915946437;0,898337519435561;0,00568759808512449
"sharp";-0,144154063262557;0,369202669649237;-0,863170033306467;-0,664313576993828;-1,59814040610129;-0,443348333595647;0,0724442752058572;0,14461577250216;0,11713795964282;-0,0708995970609328;0,181585727932449;-0,424534738538976;-0,326730748096806;-0,786016767581521;-0,218052946258727;0,0356304207125372;0,0711266804903299;0,0576122098208864;0,00756440076646136;0,0436964630994563;0,230163816762553;0,111985241652101;0,561215475769812;0,0389260909203249;0,000955363868053976;0,00355798003445956;0,00193516712677661;0,000168037608301974;0,00110225576832208;0,00602483869560542;0,0035686090444778;0,0206529730761438;0,00158943537922935;4,24385814088887e-05;0,000169115743206144;0,000110955293091868;0,00808635335138544;1,2875212615223;0,0134048368913568
"view";-0,503354636829159;0,414904335231975;0,307642357407268;0,164151004819877;-0,515028217173721;-0,256677851888497;0,127350082948794;0,749385518933774;0,44842680382728;-0,391018103095927;0,322307761284708;0,238984052641552;0,127516486051054;-0,400086423736466;-0,199393587361036;0,0989286364330192;0,582140865825569;0,348348828798859;0,241644820896895;0,144584306570008;0,0766028969282908;0,0179147279119563;0,152711032198466;0,0341850338987374;0,00773513190528263;0,250317589000591;0,074304460689772;0,00183264767355599;0,00124516463674045;0,000684578245256304;0,00019490273061902;0,00191863728530742;0,000476549068280283;0,000117308450138269;0,00406201409242146;0,00145450078586729;0,00723320597945028;0,795426607027561;0,00457647464659812
"focus";-0,137535808398444;0,369789284452475;-0,876142868411981;-0,820187162151252;-1,66358424913092;-0,463879459957064;0,096145793766133;-0,111861736214114;-0,0170494394728709;-0,0641212580747737;0,17240131437604;-0,408470954800834;-0,382383564733616;-0,775587944767253;-0,216267566344053;0,0448246120531904;-0,0521516202943887;-0,00794870456792658;0,00618586342331718;0,0393797785438564;0,213030706202675;0,153351657329937;0,546307771768259;0,0382832608422311;0,00151171266683362;0,00191242009935128;3,68291235368621e-05;0,000147348963399267;0,00106518283794404;0,00597950697104961;0,005240122630703;0,0215578336114418;0,00167619986674995;7,20072283234969e-05;9,74717195020425e-05;2,26430917805588e-06;0,00778960643940799;1,35840855211155;0,014373956631717
"color";0,358170897524023;-0,105703809531412;0,292747530165071;-0,347053709518926;-0,474790581244058;-0,249197321245328;0,236392385251404;-0,264136039741971;0,172834054678673;0,403317654482776;-0,119027572661019;0,329647796730562;-0,390799166181087;-0,534637026407272;-0,280608167226416;0,266189193528182;-0,297429882632929;0,194619456883916;0,238981599424932;0,0183299389582646;0,135485850172028;0,156412348082167;0,25349364956661;0,0629361961396047;0,0520583925652561;0,0607422153137649;0,0215598097773707;0,000942197617974204;8,20621120661634e-05;0,000629430655837173;0,000884616005919646;0,00165563882249111;0,000456087480000659;0,000410419868739935;0,000512408984128983;0,000219391626930553;0,00734448607144182;0,569144901424437;0,00237906939893363
"realistic";-0,348256106730542;-0,34610519111657;-0,243076976999053;0,0452714729482155;0,676460340442136;-0,143325853939942;0,81487026939491;-0,259523882018639;-1,21133055934445;-0,201771988960938;-0,200525795389223;-0,140833496302937;0,0262293035596945;0,391926360245596;-0,0830398722666554;0,472118052844835;-0,15036247418421;-0,701818493701835;0,0809747091343393;0,0704310249791462;0,0334782815329937;0,000953882643295652;0,184423226707229;0,00746158120861052;0,221701574065823;0,0210163843845284;0,379559335344037;0,000719803054268272;0,000710939149480842;0,000350674234189685;1,21636930918862e-05;0,00271581938315867;0,000121917284217447;0,00394087944474934;0,000399733790351418;0,00870846380949876;0,00593493823954894;0,950689786963483;0,00536406288682324
"street";-0,518195729738991;0,491683475208252;0,435645337974724;0,325138014440059;0,498042665834717;-0,159971163430242;1,05404301691177;0,124619309997852;0,385071068436619;-0,337729464929005;0,320450338485338;0,283927980199927;0,211905813465946;0,324594884502225;-0,104259785113588;0,686963175657718;0,0812195285873843;0,250966649162169;0,179002305564487;0,141918187848145;0,107364497355808;0,0491247377446498;0,099812075030659;0,00928077513787214;0,370362964238827;0,00483830318755352;0,0382961538919967;0,00134467598698627;0,00121060151979067;0,000950377468280727;0,000529377511724962;0,00124211866515399;0,00012814846145797;0,00556348165742657;7,77679542003046e-05;0,000742526178487113;0,00500760413961942;0,951435394359948;0,00453303003826245
"town";-0,274868367346453;0,350693755395956;-0,686131508566647;-0,196699205691837;0,652967341260931;1,56749343541496;0,165622120070122;0,266727710174639;0,720914861752885;-0,133967412751327;0,170923760824125;-0,334411936510616;-0,0958687386663253;0,318248135150386;0,763976743029691;0,0807221548786568;0,129999758015601;0,351364908866662;0,0308029716790895;0,0441565387147054;0,162885117786818;0,0109961861801308;0,104931294914943;0,544984851618364;0,00559267632680169;0,0135559760812364;0,0820943866979097;0,000375535108693662;0,00061130378537328;0,00233999940296095;0,000192311932477213;0,00211925853084133;0,0122127222741662;0,000136344523608959;0,000353620385186797;0,00258326510175037;0,00497051077562224;1,21658719408689;0,00735677546308736
"matte";-0,262845082029758;0,343606396174056;-0,780941947002646;-0,375691155659623;-0,130197493958111;1,52757379169031;-0,696933245473595;0,849952501525913;0,584813507674285;-0,119490564903905;0,156205024139598;-0,355019746551456;-0,170790901136536;-0,0591883705108322;0,694441965175556;-0,316829010300917;0,386392257235842;0,26585886962695;0,024835711758458;0,0373762086619951;0,186053562357278;0,0353698015735373;0,0036784187767941;0,456363787224656;0,0873170750083223;0,121371757954147;0,0476336766848093;0,000376715306971431;0,00064377785738652;0,00332545486533172;0,000769618499677542;9,24312456933465e-05;0,0127238327939349;0,00264847525690919;0,00393915317567317;0,00186486907145926;0,00545272450758559;1,29561610048596;0,00915305830098487
"engine";-0,29438574404903;0,297116178310061;-0,57608534816803;-0,051811238023973;0,953170083713188;1,52074566395409;0,0682227933285128;0,0475830353008351;-0,161340403745885;-0,151744230476444;0,153151661556862;-0,296949256591557;-0,0267066480049055;0,491321552724834;0,783884359864475;0,0351661569347748;0,024527176405173;-0,0831646093810185;0,0382112362102196;0,0342772526528825;0,124180895170132;0,000825086077948821;0,241811730747107;0,554754189198718;0,00102625774629535;0,000466566177006858;0,00444678601969147;0,000491837005964356;0,000501002914881008;0,00188348129534492;1,52347591154437e-05;0,00515618460990127;0,0131250457468222;2,64147586342365e-05;1,28496688679624e-05;0,000147731780102209;0,00567528469156868;1,16986572484709;0,00776711412026849
"unreal";-0,29438574404903;0,297116178310061;-0,57608534816803;-0,051811238023973;0,953170083713188;1,52074566395409;0,0682227933285128;0,0475830353008351;-0,161340403745885;-0,151744230476444;0,153151661556862;-0,296949256591557;-0,0267066480049055;0,491321552724834;0,783884359864475;0,0351661569347748;0,024527176405173;-0,0831646093810185;0,0382112362102196;0,0342772526528825;0,124180895170132;0,000825086077948821;0,241811730747107;0,554754189198718;0,00102625774629535;0,000466566177006858;0,00444678601969147;0,000491837005964356;0,000501002914881008;0,00188348129534492;1,52347591154437e-05;0,00515618460990127;0,0131250457468222;2,64147586342365e-05;1,28496688679624e-05;0,000147731780102209;0,00567528469156868;1,16986572484709;0,00776711412026849
"volumetric";0,239412019895896;-0,116790320529771;-0,188648957616747;-0,17167420336105;0,846436338023491;-1,14693212786499;-1,02521311276619;-0,479873347042896;0,510068212065768;0,124305971923107;-0,0606391204208425;-0,0979491006300672;-0,0891355777049111;0,43948124122923;-0,595502736020056;-0,532304570447756;-0,249156758420483;0,264834342383841;0,028626796010385;0,00599915950885676;0,0150838862923386;0,0102608822667807;0,215997369466827;0,35742601328787;0,262511940202022;0,0537508739439577;0,0503430790209559;0,000344431717565286;8,19643381820678e-05;0,00021385531852077;0,000177101123934251;0,00430526446978419;0,00790472330429476;0,00631596246549253;0,0013837718584053;0,00156339152474183;0,00600912496754331;1,09919404090081;0,00726039027439452
"map";-0,46221284679679;-4,0903447971816;0,755142176197786;-0,204242973174418;-0,378588862548879;0,2611724452035;-0,000145057483522169;0,280529394238401;0,440299577696182;-0,10882190296037;-0,963017596066614;0,177788240177596;-0,0480863073390421;-0,0891337416250654;0,0614895987526568;-3,41518664072635e-05;0,0660469364469311;0,103662713508721;0,0136111573205739;0,93869981740168;0,0308313166840523;0,00185267422028105;0,00551220953102309;0,0023642620879724;6,70395704328839e-10;0,00234325313656879;0,00478530894745025;0,00121247188355766;0,094952737329058;0,00323627267553423;0,000236745591080615;0,000813435869559191;0,000387117105917764;1,19417487645869e-10;0,000446626409653916;0,00110023179169382;0,00567528469156868;3,07757943637105;0,0537534316420348
"style";-0,355963478472874;-0,511273573539668;-0,283653817365421;0,0302926188759902;0,330847434095952;-0,269099845175919;0,360435672082334;-0,23798929192815;-1,00753025549237;-0,261495319106525;-0,375588099197872;-0,208375718222473;0,0222533448474351;0,243044752022472;-0,197684184309251;0,264780649669169;-0,174829974422306;-0,740144597978845;0,124710427112158;0,22656584531229;0,0672036306297118;0,000629592151487983;0,0650319003734685;0,0387747187938956;0,0639421640695262;0,0260530243918477;0,387088697165616;0,00072381541203317;0,00149321943388121;0,000459615014218638;5,24192235573884e-06;0,000625277042760223;0,000413660295550665;0,00074211716129138;0,000323542827002455;0,00579873330697756;0,00571237805556586;0,783012769919293;0,0035023103850265
"tower";-0,549560346739739;0,438985230101318;0,470627708984007;-0,159128289198684;0,90767831047141;-1,10639098870455;-0,97056253301009;-0,438618177781251;0,332114827472088;-0,273613117075965;0,218560378074756;0,234314420975531;-0,0792262168857629;0,451911593155652;-0,550845942434007;-0,483220162352431;-0,218377631393669;0,165352128680454;0,123557233098783;0,0694277482814909;0,0768981641630019;0,00722147588133884;0,203460605817711;0,272448571309776;0,192718921294266;0,0367842646839417;0,0174830154696862;0,00131072885644564;0,000836338134682722;0,00096125158701115;0,00010989473101844;0,00357557587781918;0,00531250488989712;0,00408817169652088;0,000834940130864534;0,000478694694140633;0,00433992358767017;1,21449599752574;0,00640138958331938
