"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"print";-0,751;-1,393;-0,685;121,667;-2,236;-0,437;-0,638;-1,603;-0,528;-0,002
"pixel";-0,692;-1,285;-0,632;0,709;-2,063;-0,403;78,756;-1,479;-0,487;-0,167
"ominous";-0,403;-0,747;-0,367;-0,273;-1,199;-0,234;-0,342;-0,86;28,743;0,965
"natural";-0,751;-1,393;-0,685;-0,509;-2,236;-0,437;-0,638;-1,603;-0,528;20,444
"mumford";-0,751;-1,393;-0,685;-0,509;-2,236;-0,437;-0,638;10,26;-0,528;2,78
"moscow";-0,692;-1,285;0,291;-0,47;1,057;-0,403;-0,589;0,415;28,233;-2,55
"majestic";-0,751;-1,393;-0,685;-0,509;-2,236;-0,437;123,547;-1,603;-0,528;-0,38
"lively";-0,751;-1,393;-0,685;-0,509;-2,236;333,481;-0,638;-1,603;-0,528;-5,423
"level";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;5,862;-0,324;1,854
"key";-0,576;-1,07;-0,526;-0,391;-0,169;-0,335;-0,49;-1,231;118,364;-1,538
"ivan";-0,751;-1,393;-0,685;-0,509;-2,236;-0,437;-0,638;-1,603;-0,528;20,444
"gorgeous";-0,692;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;18,859
"friedrich";-0,751;-0,055;0,207;-0,509;-2,236;-0,437;-0,638;-1,603;-0,528;11,423
"festival";0,133;-1,393;-0,685;-0,509;16,245;52,178;-0,638;-1,603;-0,528;-8,407
"dan";-0,751;-1,393;-0,685;-0,509;-2,236;-0,437;-0,638;10,26;-0,528;2,78
"cole";-0,634;-1,177;-0,579;-0,43;21,425;-0,369;0,495;-1,355;-0,446;-0,648
"big";-0,634;-1,177;-0,579;0,881;0,116;-0,369;-0,539;7,401;-0,446;-0,034
"villeneuve";-0,692;-1,285;-0,632;-0,47;70,903;-0,403;-0,589;-1,479;-0,487;-7,755
"urban";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"ufo";-0,692;3,3;-0,632;-0,47;-2,063;-0,403;0,372;38,743;-0,487;-7,755
"tran";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"sword";-0,692;-1,285;-0,632;-0,47;45,936;-0,403;-0,589;-1,479;-0,487;-2,55
"seaside";-0,692;-1,285;-0,632;-0,47;-2,063;303,217;-0,589;-1,479;-0,487;-4,8
"roof";2,988;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;2,478;5,327;0,034
"rob";-0,518;65,526;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;-2,973
"open";0,201;0,694;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;46,461;-0,167
"mushroom";143,33;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;-2,55
"moebius";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;-1,355;106,418;-0,034
"modern";-0,46;25,908;-0,42;-0,312;-1,372;-0,268;-0,391;-0,983;-0,324;-0,008
"maya";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;29,001;-0,364;-0,125
"massive";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;7,401;0,813;1,114
"magic";-0,634;-0,003;-0,579;-0,43;-1,89;1,222;-0,539;-1,355;-0,446;8,504
"magali";-0,692;-1,285;-0,632;-0,47;70,903;-0,403;-0,589;-1,479;-0,487;-7,755
"jesper";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;1,559;-0,121;0,961
"jan";-0,692;-1,285;34,528;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;1,885
"illustrate";-0,692;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;51,186;-0,487;-1,006
"gold";-0,518;5,869;-0,473;-0,352;-1,544;-0,302;16,834;-1,107;-0,364;-0,125
"germany";-0,692;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;28,233;3,868
"gent";-0,692;-1,285;-0,632;311,305;-2,063;-0,403;-0,589;-1,479;-0,487;-7,755
