"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"frank";0;1;1;1;1;1;1;1;1;1
"deviantart";1;0;1;1;1;1;1;0,916;1;1
"cobblestone";1;1;1;1;1;1;0,853;1;0;0,339
"cathedral";1;1;0,12;1;0,018;1;1;1;1;0,05
"trace";1;1;1;1;1;1;1;1;1;0
"syd";1;1;0;1;1;1;1;1;1;1
"skyscraper";1;1;1;1;1;1;0;1;0,258;0,74
"single";1;1;0;1;0,178;1;1;1;1;1
"orange";0;1;1;1;1;1;1;1;1;1
"grind";1;1;1;1;1;1;1;1;1;0
"grim";1;1;1;1;1;1;1;0;1;1
"golden";1;1;1;0,765;0,489;1;1;0,553;0,009;0,584
"arch";1;1;0;1;1;1;1;1;1;1
"soldier";1;1;1;0,877;0;1;1;1;1;1
"serene";1;0,004;1;0;1;1;1;1;1;1
"rockwell";0,524;1;0;1;1;1;1;1;1;1
"resemble";1;1;1;1;0;1;1;1;1;1
"peter";1;1;1;1;1;1;1;0;1;1
"norman";0,524;1;0;1;1;1;1;1;1;1
"mead";1;1;0;1;1;1;1;1;1;1
"3d";1;0,736;0,518;1;1;1;1;0,459;1;0,006
"warm";1;1;1;1;1;1;1;0;1;0,142
"nouveau";1;1;1;1;0;1;1;1;1;0,932
"kingdom";1;0;1;0,035;1;1;1;1;1;1
"distance";0,565;1;1;0,001;1;0,825;1;1;1;0,08
"ultrawide";1;1;1;1;1;1;1;1;0;1
"photorealism";1;1;1;1;0,057;1;1;0,009;1;1
"perfect";1;1;0,297;0;1;1;0,939;1;1;1
"marble";1;1;1;1;1;1;1;1;1;0
"jordan";1;1;1;1;1;1;1;0;0,831;1
"hopper";1;1;0;1;1;1;1;1;1;1
"scenery";1;1;1;0;1;1;1;1;1;0,494
"palace";1;1;1;1;1;1;1;0;0;1
"middle";1;0,237;1;1;1;1;1;1;0;1
"island";1;0,003;1;1;1;1;1;1;0,176;0,031
"image";0,716;1;1;1;1;1;1;1;1;0,005
"frazetta";0;1;1;1;1;1;1;1;1;1
"field";0,086;1;1;1;1;1;1;1;0;0,134
"edward";1;1;0;1;1;1;1;1;1;1
"crowd";1;1;1;1;1;1;1;1;1;0
"coherent";1;1;0;1;1;1;1;1;1;1
"canvas";1;1;1;1;0,001;1;1;1;1;0,031
"artist";1;0;1;1;1;1;1;1;1;1
"tranding";0;1;1;1;1;1;1;1;1;1
"sunbeam";0;1;1;1;1;1;1;1;1;1
"square";1;1;1;1;0,049;1;1;1;0;0,932
"mystical";1;1;1;1;1;1;1;0,036;1;0,337
"movie";1;1;1;1;1;1;1;1;1;0
"kuvshinov";1;1;1;1;1;1;1;0;1;1
"ilya";1;1;1;1;1;1;1;0;1;1
"god";1;1;1;1;1;1;1;1;0,523;0
"extreme";1;1;1;1;0,326;1;1;0,314;1;0,031
"dome";1;1;1;1;1;1;1;0;1;1
"cyberpunk";1;1;0,038;1;0,049;1;1;1;1;0,142
"church";1;1;1;1;1;1;1;1;0;0,537
"walk";1;1;1;1;1;1;0;1;0,868;1
"tom";1;1;1;1;0;1;1;1;0,201;1
"texture";1;1;1;0,004;1;1;1;1;0,709;0,004
"shop";1;1;1;0,004;1;1;1;1;1;0
"rozalski";1;1;1;1;0,73;1;1;1;1;0,06
"professional";1;1;1;1;0,089;1;1;0,269;0,868;0,859
"perspective";1;1;0,369;0;1;1;1;1;0,868;1
"particle";0;1;1;1;1;1;1;1;1;1
"low";1;1;1;0;1;1;1;0,269;1;1
"life";1;1;1;1;1;1;1;0,365;1;0,14
"lens";1;0,518;1;1;1;1;1;0;1;0,29
"land";1;0;1;1;0,629;1;1;1;1;1
"jakub";1;1;1;1;0,73;1;1;1;1;0,06
"clear";1;1;1;0;0,227;1;1;1;1;1
"triumph";1;1;1;1;0;1;1;1;1;1
"stun";1;1;1;0,725;1;1;1;1;1;0
"rutowski";0;1;1;1;1;1;1;1;1;1
"rembrandt";0,402;1;1;1;0;1;1;1;1;1
"lead";1;1;0;1;1;1;1;1;1;1
