"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"137";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;71;71;71;71;71
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"140";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"141";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;78
"142";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"143";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;55;55;55;55;55;55;55;55;55;55;55;55;55
"144";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;64;64;64;64;64;64;64;64
"145";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"146";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"147";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"148";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"149";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;76;76
"150";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;76;76
"151";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;66;66;66;66;66;66;66
"152";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"153";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"154";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"155";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"156";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"157";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"158";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;69;69;69;69;69;69
"159";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
"160";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;55;55;55;55;55;55;55;55;55;55;55;55;55
"161";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"162";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"163";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"164";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"165";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
