"";"X";"V1"
"375";375;2
"376";376;2
"377";377;1
"378";378;12
"379";379;14
"380";380;14
"381";381;0
"382";382;14
"383";383;8
"384";384;14
"385";385;1
"386";386;2
"387";387;8
"388";388;7
"389";389;8
"390";390;3
"391";391;9
"392";392;12
"393";393;8
"394";394;10
"395";395;14
"396";396;0
"397";397;5
"398";398;10
"399";399;9
"400";400;1
"401";401;11
"402";402;7
"403";403;0
"404";404;0
"405";405;0
"406";406;0
"407";407;0
"408";408;1
"409";409;10
"410";410;2
"411";411;10
"412";412;7
"413";413;3
"414";414;11
"415";415;14
"416";416;0
"417";417;8
"418";418;6
"419";419;14
"420";420;11
"421";421;11
"422";422;14
"423";423;0
"424";424;0
"425";425;7
"426";426;11
"427";427;11
"428";428;2
"429";429;0
"430";430;14
"431";431;14
"432";432;2
"433";433;14
"434";434;12
"435";435;3
"436";436;9
"437";437;12
"438";438;1
"439";439;1
"440";440;8
"441";441;7
"442";442;14
"443";443;13
"444";444;5
"445";445;2
"446";446;0
"447";447;6
"448";448;13
"449";449;7
"450";450;11
"451";451;10
"452";452;0
"453";453;0
"454";454;10
"455";455;1
"456";456;8
"457";457;12
"458";458;2
"459";459;12
"460";460;0
"461";461;11
"462";462;8
"463";463;1
"464";464;5
"465";465;9
"466";466;3
"467";467;5
"468";468;2
"469";469;11
"470";470;11
"471";471;12
"472";472;0
"473";473;0
"474";474;7
"475";475;10
"476";476;14
"477";477;10
"478";478;14
"479";479;4
"480";480;3
"481";481;0
"482";482;3
"483";483;5
"484";484;8
"485";485;9
"486";486;0
"487";487;9
"488";488;3
"489";489;10
"490";490;9
"491";491;14
"492";492;12
"493";493;0
"494";494;14
"495";495;7
"496";496;3
"497";497;0
"498";498;12
"499";499;10
"500";500;11
"501";501;5
"502";502;7
"503";503;13
"504";504;9
"505";505;9
"506";506;0
"507";507;7
"508";508;0
"509";509;0
"510";510;5
"511";511;7
"512";512;8
"513";513;0
"514";514;10
"515";515;10
"516";516;2
"517";517;11
"518";518;12
"519";519;13
"520";520;0
"521";521;12
"522";522;6
"523";523;3
"524";524;6
"525";525;3
"526";526;3
"527";527;9
"528";528;0
"529";529;12
"530";530;8
"531";531;3
"532";532;12
"533";533;13
"534";534;2
"535";535;7
"536";536;12
"537";537;10
"538";538;0
"539";539;4
"540";540;10
"541";541;2
"542";542;7
"543";543;14
"544";544;1
"545";545;8
"546";546;9
"547";547;8
"548";548;3
"549";549;0
"550";550;11
"551";551;0
"552";552;6
"553";553;11
"554";554;10
"555";555;0
"556";556;4
"557";557;1
"558";558;10
"559";559;0
"560";560;10
"561";561;11
"562";562;2
"563";563;10
"564";564;0
"565";565;9
"566";566;0
"567";567;1
"568";568;7
"569";569;7
"570";570;2
"571";571;11
"572";572;7
"573";573;7
"574";574;8
"575";575;0
"576";576;4
"577";577;13
"578";578;5
"579";579;14
"580";580;8
"581";581;10
"582";582;11
"583";583;11
"584";584;0
"585";585;5
"586";586;14
"587";587;8
"588";588;9
"589";589;2
"590";590;3
"591";591;0
"592";592;7
"593";593;0
"594";594;12
"595";595;0
"596";596;2
"597";597;0
"598";598;7
"599";599;11
"600";600;7
"601";601;7
"602";602;6
"603";603;5
"604";604;12
"605";605;7
"606";606;11
"607";607;7
"608";608;2
"609";609;10
"610";610;10
"611";611;0
"612";612;14
"613";613;12
"614";614;2
"615";615;0
"616";616;1
"617";617;5
"618";618;0
"619";619;1
"620";620;14
"621";621;13
"622";622;14
"623";623;10
"624";624;1
"625";625;0
"626";626;8
"627";627;7
"628";628;2
"629";629;1
"630";630;14
"631";631;10
"632";632;11
"633";633;10
"634";634;4
"635";635;2
"636";636;11
"637";637;3
"638";638;7
"639";639;0
"640";640;13
"641";641;0
"642";642;6
"643";643;13
"644";644;3
"645";645;6
"646";646;13
"647";647;11
"648";648;2
"649";649;0
"650";650;14
"651";651;5
"652";652;7
"653";653;0
"654";654;13
"655";655;9
"656";656;2
"657";657;6
"658";658;0
"659";659;13
"660";660;10
"661";661;7
"662";662;10
"663";663;8
"664";664;5
"665";665;5
"666";666;10
"667";667;14
"668";668;14
"669";669;12
"670";670;10
"671";671;5
"672";672;14
"673";673;3
"674";674;13
"675";675;14
"676";676;13
"677";677;10
"678";678;13
"679";679;6
"680";680;14
"681";681;9
"682";682;0
"683";683;12
"684";684;14
"685";685;14
"686";686;4
"687";687;8
"688";688;8
"689";689;0
"690";690;7
"691";691;11
"692";692;0
"693";693;6
"694";694;6
"695";695;6
"696";696;12
"697";697;5
"698";698;0
"699";699;10
"700";700;0
"701";701;9
"702";702;0
