tank;0;0;0;3;1;3;1;1;0;0;5;5;1;1
distance;0;0;0;5;0;0;0;0;0;0;62;1;0;0
masterpiece;0;37;0;0;0;9;0;0;1;0;0;13;0;1
muscular;0;0;0;0;0;0;0;0;0;65;0;0;0;0
future;0;33;11;0;0;1;0;0;0;0;0;0;0;3
european;28;3;12;0;3;0;4;0;0;3;0;0;0;4
cloud;0;0;0;1;0;1;0;0;3;3;54;1;0;0
beam;0;0;0;0;0;0;0;0;0;6;54;1;0;0
war;7;0;0;0;0;3;0;3;0;1;3;4;0;12
view;0;16;0;0;11;1;0;0;2;0;0;8;4;5
trident;0;0;0;0;0;0;0;0;0;59;0;0;0;0
world;0;0;0;0;0;1;0;0;0;0;0;4;0;49
dark;0;0;0;15;0;3;8;0;9;3;0;8;3;0
futuristic;0;1;0;0;20;2;0;0;2;3;1;4;0;1
ultra;0;3;0;11;2;6;0;0;4;0;0;11;2;1
star;0;0;8;0;2;0;0;0;4;0;0;3;24;0
hyperdetailed;0;39;0;1;3;2;1;0;0;0;0;4;0;2
stripe;0;0;0;0;0;0;0;2;3;0;46;2;0;0
ruin;0;0;0;0;0;0;0;0;1;0;0;0;3;2
oil;0;0;0;1;0;25;1;0;0;0;0;10;0;0
black;0;0;2;4;5;1;8;0;2;0;0;13;1;3
hyperrealism;0;45;0;0;0;0;0;0;1;0;0;3;2;0
girl;0;0;0;0;0;1;0;1;0;0;0;2;0;0
sun;0;32;6;0;0;0;4;0;1;0;0;4;0;0
build;0;12;1;0;3;2;2;0;3;0;0;8;1;0
union;25;3;10;0;0;0;0;0;0;2;0;0;0;3
sky;0;0;0;1;10;0;0;0;1;3;0;15;8;2
arm;0;0;0;0;41;0;0;0;0;6;0;1;0;0
western;0;0;0;0;0;0;0;0;0;3;43;0;0;0
photo;0;0;0;2;1;1;0;0;6;1;2;17;3;5
colour;0;0;0;0;17;0;3;0;0;0;0;3;7;0
army;0;0;0;0;0;3;1;0;0;2;0;4;1;1
cgsociety;0;2;0;1;14;2;1;0;1;0;0;3;0;5
4k;0;0;6;0;0;2;0;1;4;2;0;8;4;3
tower;0;0;0;22;2;0;0;6;2;0;0;1;0;0
street;0;0;0;0;2;2;0;0;0;0;2;6;0;0
country;3;0;20;0;0;5;0;0;0;0;0;0;1;10
hyperrealistic;0;0;0;0;0;1;0;0;1;6;23;6;2;2
8k;0;0;11;0;0;0;2;1;0;4;0;21;0;2
lightning;0;0;35;1;0;0;0;0;0;0;0;5;0;0
hd;0;0;15;0;0;4;5;0;0;0;0;11;2;2
europe;0;0;0;0;0;3;0;0;0;0;0;0;0;31
epic;3;0;0;0;15;1;5;0;1;2;0;9;0;0
dramatic;0;0;0;6;0;9;0;0;1;1;0;15;3;1
raise;0;0;0;0;8;0;0;30;0;0;0;2;0;0
modern;0;9;5;0;0;2;4;0;1;1;3;1;0;14
statue;0;31;0;0;0;0;0;0;2;1;0;1;0;0
party;4;26;0;0;2;0;4;0;0;0;0;0;0;0
medieval;0;0;0;0;9;2;8;0;7;0;4;3;0;3
hold;0;0;2;5;1;8;0;0;0;0;0;9;1;0
coat;0;0;0;0;33;0;0;0;0;5;0;0;0;0
car;0;0;0;0;0;1;0;0;5;0;31;1;0;0
win;0;0;13;0;0;5;0;0;0;0;0;9;0;4
minimalist;1;0;22;0;0;1;5;0;0;0;0;4;2;0
bolt;0;0;33;0;0;2;0;0;0;0;0;2;0;0
shape;0;0;0;1;1;0;3;0;1;1;0;21;1;0
installin;0;0;0;0;0;0;0;36;0;0;0;0;0;0
burn;0;0;0;1;0;1;0;27;1;0;0;3;0;1
wennan;0;35;0;0;0;0;0;0;0;0;0;0;0;0
studio;5;0;0;0;0;14;3;0;6;0;0;6;0;0
resolution;0;0;0;4;0;2;0;0;1;0;0;18;2;2
gold;0;0;0;0;7;0;0;0;18;0;0;1;0;3
fan;0;35;0;0;0;0;0;0;0;0;0;0;0;0
capitol;0;34;0;0;0;0;0;0;0;0;0;1;0;0
single;0;0;0;0;0;0;3;0;0;30;0;1;0;0
