"";"V1"
"1101";1
"1102";5
"1103";5
"1104";3
"1105";5
"1106";5
"1107";1
"1108";1
"1109";10
"1110";4
"1111";5
"1112";12
"1113";7
"1114";2
"1115";11
"1116";0
"1117";1
"1118";10
"1119";10
"1120";11
"1121";12
"1122";12
"1123";12
"1124";12
"1125";0
"1126";12
"1127";5
"1128";14
"1129";14
"1130";11
"1131";14
"1132";3
"1133";5
"1134";0
"1135";14
"1136";11
"1137";7
"1138";1
"1139";8
"1140";0
"1141";5
"1142";0
"1143";13
"1144";2
"1145";0
"1146";12
"1147";14
"1148";7
"1149";3
"1150";0
"1151";7
"1152";8
"1153";0
"1154";9
"1155";14
"1156";0
"1157";4
"1158";1
"1159";9
"1160";0
"1161";5
"1162";1
"1163";4
"1164";6
"1165";7
"1166";10
"1167";0
"1168";1
"1169";14
"1170";11
"1171";13
"1172";14
"1173";13
"1174";12
"1175";0
"1176";2
"1177";1
"1178";1
"1179";12
"1180";14
"1181";3
"1182";1
"1183";11
"1184";11
"1185";12
"1186";6
"1187";0
"1188";8
"1189";10
"1190";6
"1191";13
"1192";6
"1193";1
"1194";6
"1195";7
"1196";3
"1197";9
"1198";2
"1199";0
"1200";1
"1201";2
"1202";11
"1203";11
"1204";0
"1205";10
"1206";11
"1207";7
"1208";4
"1209";5
"1210";12
"1211";12
"1212";0
"1213";7
"1214";0
"1215";2
"1216";14
"1217";14
"1218";10
"1219";1
"1220";3
"1221";0
"1222";8
"1223";12
"1224";0
"1225";4
"1226";3
"1227";5
"1228";11
"1229";12
"1230";14
"1231";10
"1232";7
"1233";8
"1234";6
"1235";5
"1236";9
"1237";12
"1238";7
"1239";14
"1240";7
"1241";0
"1242";11
"1243";13
"1244";11
"1245";0
"1246";7
"1247";14
"1248";1
"1249";5
"1250";3
"1251";14
"1252";0
"1253";6
"1254";10
"1255";14
"1256";10
"1257";8
"1258";10
"1259";3
"1260";8
"1261";7
"1262";9
"1263";8
"1264";0
"1265";0
"1266";0
"1267";10
"1268";0
"1269";3
"1270";4
"1271";5
"1272";7
"1273";0
"1274";12
"1275";7
"1276";11
"1277";0
"1278";7
"1279";0
"1280";4
"1281";12
"1282";12
"1283";0
"1284";14
"1285";2
"1286";6
"1287";9
"1288";7
"1289";12
"1290";1
"1291";2
"1292";0
"1293";8
"1294";7
"1295";14
"1296";3
"1297";4
"1298";11
"1299";10
"1300";6
"1301";9
"1302";7
"1303";3
"1304";7
"1305";6
"1306";12
"1307";0
"1308";10
"1309";0
"1310";7
"1311";12
"1312";12
"1313";14
"1314";4
"1315";0
"1316";0
"1317";8
"1318";9
"1319";14
"1320";0
"1321";3
"1322";3
"1323";11
"1324";7
"1325";0
"1326";11
"1327";0
"1328";10
"1329";12
"1330";9
"1331";12
"1332";0
"1333";6
"1334";8
"1335";0
"1336";14
"1337";0
"1338";11
"1339";12
"1340";10
"1341";10
"1342";1
"1343";10
"1344";0
"1345";0
"1346";8
"1347";8
"1348";12
"1349";12
"1350";4
"1351";12
"1352";11
"1353";0
"1354";1
"1355";12
"1356";14
"1357";1
"1358";7
"1359";4
"1360";11
"1361";2
"1362";3
"1363";0
"1364";14
"1365";1
"1366";12
"1367";12
"1368";11
"1369";6
"1370";7
"1371";12
"1372";14
"1373";0
"1374";5
"1375";3
"1376";1
"1377";0
"1378";5
"1379";0
"1380";4
"1381";14
"1382";7
"1383";10
"1384";0
"1385";2
"1386";9
"1387";12
"1388";12
"1389";5
"1390";0
"1391";0
"1392";11
"1393";0
"1394";7
"1395";14
"1396";12
"1397";0
"1398";12
"1399";5
"1400";7
"1401";4
"1402";11
"1403";14
"1404";3
"1405";10
"1406";11
"1407";14
"1408";14
"1409";5
"1410";13
"1411";7
"1412";1
"1413";6
"1414";4
"1415";9
"1416";7
"1417";14
"1418";6
"1419";0
"1420";14
"1421";0
"1422";10
"1423";1
"1424";4
"1425";6
"1426";12
"1427";12
"1428";4
"1429";9
"1430";7
"1431";11
"1432";2
"1433";0
"1434";8
"1435";0
"1436";5
"1437";3
"1438";0
"1439";12
"1440";4
"1441";2
"1442";0
"1443";7
"1444";7
"1445";9
"1446";8
"1447";8
"1448";14
"1449";7
"1450";14
"1451";13
"1452";12
"1453";7
"1454";6
"1455";8
"1456";6
"1457";10
"1458";1
"1459";1
"1460";1
"1461";0
"1462";2
"1463";14
"1464";11
"1465";0
"1466";3
"1467";0
"1468";0
"1469";7
"1470";0
"1471";5
"1472";8
"1473";10
"1474";7
"1475";4
"1476";1
"1477";5
"1478";0
"1479";9
"1480";1
"1481";14
"1482";14
"1483";0
"1484";6
"1485";10
"1486";7
"1487";6
"1488";1
"1489";8
"1490";6
"1491";12
"1492";12
"1493";12
"1494";0
"1495";0
"1496";9
"1497";5
"1498";12
"1499";9
"1500";3
"1501";1
"1502";0
"1503";0
"1504";8
"1505";5
"1506";13
"1507";7
"1508";1
"1509";2
"1510";0
"1511";12
"1512";7
"1513";14
"1514";8
"1515";11
"1516";9
"1517";12
"1518";0
"1519";6
"1520";14
"1521";13
"1522";10
"1523";14
"1524";12
"1525";7
"1526";4
"1527";7
"1528";13
"1529";14
"1530";1
"1531";10
"1532";0
"1533";14
"1534";13
"1535";14
"1536";12
"1537";4
"1538";8
"1539";1
"1540";7
"1541";10
"1542";3
"1543";6
"1544";6
"1545";8
"1546";6
"1547";12
"1548";14
"1549";0
"1550";12
"1551";1
"1552";12
"1553";3
"1554";12
"1555";7
"1556";3
"1557";12
"1558";10
"1559";11
"1560";0
"1561";13
"1562";8
"1563";6
"1564";7
"1565";9
"1566";14
"1567";3
"1568";14
"1569";1
"1570";6
"1571";8
"1572";13
"1573";4
"1574";10
"1575";7
"1576";8
"1577";1
"1578";14
"1579";11
"1580";4
"1581";0
"1582";12
"1583";0
"1584";9
"1585";2
"1586";0
"1587";10
"1588";9
"1589";4
"1590";12
"1591";12
"1592";0
"1593";8
"1594";0
"1595";2
"1596";10
"1597";6
"1598";10
"1599";9
"1600";7
"1601";14
"1602";8
"1603";14
"1604";2
"1605";11
"1606";12
"1607";2
"1608";14
"1609";1
"1610";10
"1611";12
"1612";0
"1613";5
"1614";8
"1615";12
"1616";1
"1617";12
"1618";12
"1619";12
"1620";11
"1621";12
"1622";6
"1623";12
"1624";14
"1625";3
"1626";12
"1627";10
"1628";13
"1629";6
"1630";3
"1631";7
"1632";5
"1633";2
"1634";2
"1635";6
"1636";11
"1637";0
"1638";5
"1639";13
"1640";6
"1641";9
"1642";0
"1643";11
"1644";7
"1645";4
