"";"";"";"";"hyper";""
"49";"symbol";"-0.258229821965659";"0.210315744793291";"1.29395443159297";"96"
"50";"yellow";"-0.472014134362968";"0.536562223675923";"1.29328585924185";"97"
"51";"car";"-0.492207036539427";"0.496039589903435";"1.27705047969628";"99"
"52";"matte";"-0.455568496657766";"0.0835584149149519";"1.24425829159018";"103"
"53";"raise";"-0.502820798599028";"0.484525641823591";"1.22892773472171";"104"
"54";"reichstag";"-0.0796305894887402";"-0.289561403849292";"1.22278683339092";"106"
"55";"shinkai";"0.306387201645511";"-0.498224587370512";"1.22013182972736";"107"
"56";"river";"0.0202205202638669";"-0.722578699123852";"1.21865164911348";"109"
"57";"burn";"-0.473965051954238";"0.486127844786878";"1.21206556859697";"110"
"58";"single";"-0.546242822214624";"0.62375001625496";"1.20070948149847";"113"
"59";"artstation";"-0.359325624602666";"0.189938919206437";"1.19880983602007";"114"
"60";"cathedral";"-0.667752902113198";"0.757328088712991";"1.1973537625823";"115"
"61";"scene";"0.00299183524074581";"-0.340700205766967";"1.1940703651945";"117"
"62";"flag";"-0.223739227312766";"0.212255497587556";"1.18763214202487";"118"
"63";"vector";"0.583816626035551";"-0.527343166022561";"1.18512820999834";"119"
"64";"paint";"-0.284687516606627";"-0.0842310403265785";"1.17861766530035";"121"
"65";"solter";"0.552847038623721";"-3.96758562761598";"1.17273872861675";"122"
"66";"ground";"0.552847038623721";"-3.96758562761598";"1.17273872861675";"123"
"67";"ominous";"-0.00477485264350704";"-0.71002540940052";"1.17208783486146";"124"
"68";"lonely";"-0.0362387160119373";"-0.732121246131035";"1.16984426033705";"125"
"69";"horse";"0.0720906340852479";"-0.67908337751397";"1.16517871818492";"126"
"70";"watch";"-0.667752902113198";"0.757328088712991";"1.15678942089449";"129"
"71";"europe";"0.560422301580964";"-0.615695628579353";"1.15665602785329";"130"
"72";"visual";"0.308386293357878";"-0.497300423695129";"1.15473066805368";"131"
"73";"jonathan";"0.529240562809691";"-3.72200437829634";"1.14306922339097";"132"
"74";"skyline";"-0.0557618890113331";"-0.304334835514398";"1.14135600674124";"137"
"75";"st";"-0.520476697710616";"0.291314245226173";"1.13725778680052";"138"
"76";"blue";"-0.337560190726269";"0.348574665897817";"1.12722598724365";"140"
"77";"patch";"-0.519018858305931";"0.538396779095017";"1.1246658051395";"141"
"78";"heraldry";"-0.0796305894887402";"-0.289561403849292";"1.11535561372122";"143"
"79";"godrays";"-0.0796305894887402";"-0.289561403849292";"1.11535561372122";"144"
"80";"proletariat";"0.552847038623721";"-3.96758562761598";"1.11442186243276";"145"
"81";"back";"-0.185090446112021";"-0.101427962111886";"1.09584647965829";"149"
"82";"simonetti";"0.503262351925686";"-3.31863995877217";"1.09488058546834";"150"
"83";"marc";"0.503262351925686";"-3.31863995877217";"1.09488058546834";"151"
"84";"cube";"0.188789722160532";"-0.451874021405663";"1.0923011176233";"152"
"85";"key";"0.308386293357878";"-0.497300423695129";"1.08919289904864";"154"
"86";"gloomy";"-0.0796305894887402";"-0.289561403849292";"1.08858218392022";"155"
"87";"foggy";"-0.0796305894887402";"-0.289561403849292";"1.08858218392022";"156"
"88";"jordan";"-0.0762927530674476";"-0.323604468640195";"1.08801807599897";"157"
"89";"futuristic";"-0.0285211549268851";"-0.336134023764077";"1.08706182467947";"158"
"90";"flame";"0.00683941015928974";"-0.702768643326547";"1.07947931421659";"160"
"91";"fractal";"-0.00391432935703263";"-0.706787107507288";"1.07947931421659";"161"
"92";"fi";"-0.0149683246873423";"-0.306028030973456";"1.07865002735799";"163"
"93";"visible";"-0.0362387160119373";"-0.732121246131035";"1.07610752384967";"166"
"94";"visibility";"-0.0362387160119373";"-0.732121246131035";"1.07610752384967";"167"
"95";"eiffel";"-0.0362387160119373";"-0.732121246131035";"1.07610752384967";"168"
"96";"front";"0.370951487051152";"-0.458290883475801";"1.0691871571576";"171"
"97";"mcquarrie";"-0.0544650089290701";"-0.30955196495694";"1.06143750360694";"174"
"98";"pixiv";"0.327074916178271";"-0.5010653477681";"1.05716892628829";"175"
"99";"renaissance";"0.308386293357878";"-0.497300423695128";"1.0564858896315";"176"
"100";"rectangular";"0.552847038623721";"-3.96758562761598";"1.05625446074073";"178"
"101";"production";"0.552847038623721";"-3.96758562761598";"1.05625446074073";"179"
"102";"mean";"0.552847038623721";"-3.96758562761598";"1.05625446074073";"180"
"103";"conflict";"0.552847038623721";"-3.96758562761598";"1.05625446074073";"181"
"104";"pattern";"0.674659313421838";"-0.554785490123083";"1.04845659283783";"182"
"105";"trend";"0.142630598106234";"-0.438156772613964";"1.04763534170461";"183"
"106";"chest";"-0.677236443687333";"0.776528099329345";"1.0448244449688";"184"
"107";"minimalist";"0.775003149285546";"-0.453379205935758";"1.04264837053752";"186"
"108";"rembrandt";"-0.0487519448242856";"-0.340650735946087";"1.03847943621351";"188"
"109";"frame";"-0.0192266374423176";"-0.320251569776813";"1.03492443130806";"189"
"110";"submarine";"0.0387685975921673";"-0.702636284702116";"1.03352942938314";"190"
"111";"ride";"0.0129934281837505";"-0.698575414354477";"1.03352942938314";"191"
"112";"johnson";"-0.127809819965565";"-0.516599911065267";"1.03352942938314";"192"
"113";"inside";"0.198847732387369";"-0.547872965231061";"1.03213924889344";"193"
"114";"colour";"0.147160827343051";"-0.392595323375844";"1.03182424845878";"194"
"115";"tarot";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"195"
"116";"razumov";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"196"
"117";"konstantin";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"198"
"118";"interstellar";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"199"
"119";"fountain";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"200"
"120";"card";"-0.0362387160119372";"-0.732121246131035";"1.02932835215763";"201"
"121";"stylize";"0.440263143748302";"-0.525376945597727";"1.02888638726206";"202"
"122";"line";"0.401060137016004";"-0.508850512698766";"1.0252301322169";"204"
"123";"cell";"0.270094625650121";"-0.523391626188007";"1.0248604888497";"205"
"124";"pennington";"0.308386293357878";"-0.497300423695128";"1.02382066598631";"206"
"125";"bruce";"0.308386293357878";"-0.497300423695128";"1.02382066598631";"207"
"126";"hyperrealistic";"-0.361936500500981";"0.364357308841041";"1.01934958838823";"208"
"127";"heraldic";"0.0421786395195891";"-0.340168213623429";"1.01881280193325";"209"
"128";"neoclassical";"-0.0374107620426162";"-0.537064638123967";"1.0186504802807";"210"
"129";"scheme";"0.460761381361859";"-0.525088750464467";"1.01607261958073";"211"
"130";"photograph";"0.468781864788769";"-0.537694654618363";"1.01325047282939";"212"
"131";"background";"0.0538935626929313";"-0.101076157900535";"1.01269922206873";"213"
"132";"horror";"0.0208430476054311";"-0.356074076577678";"1.01091689818078";"214"
"133";"underwater";"-0.00933831354163293";"-0.651467127222071";"1.00160831390758";"218"
"134";"atmospheric";"0.0354154998535054";"-0.679167311594145";"1.00160831390758";"219"
"135";"environment";"0.302389018220776";"-0.50007291472128";"0.999572061097812";"221"
"136";"render";"0.18884029773709";"-0.565847434852487";"0.999541525341391";"222"
"137";"sacrifice";"0.545732087578507";"-3.58515683745071";"0.998835988653556";"223"
"138";"photography";"0.164466625771171";"-0.742919155782519";"0.995867591700411";"224"
"139";"canvas";"0.31639372022756";"-0.508919402547571";"0.993677052963466";"225"
"140";"wayne";"0.186368893923994";"-0.340471859644114";"0.992691873032617";"226"
"141";"barlowe";"0.186368893923994";"-0.340471859644114";"0.992691873032617";"227"
"142";"sickle";"0.73496637158111";"-0.55816380385402";"0.990263476824603";"228"
"143";"contest";"0.692248872051626";"-0.55577083162794";"0.989170618173743";"229"
"144";"clean";"0.444515097839021";"-0.522660487222765";"0.988153295341398";"230"
"145";"nolan";"-0.0434706949247377";"-0.658361272417411";"0.987936330756301";"231"
"146";"christopher";"-0.0434706949247377";"-0.658361272417411";"0.987936330756301";"233"
"147";"detailded";"-0.0660706290272394";"-0.427861354562337";"0.986882043587236";"234"
"148";"dark";"0.162746794768918";"-0.506308837800875";"0.983267574314023";"235"
"149";"sketch";"0.488812479216796";"-0.525726516128599";"0.982979895345635";"236"
"150";"steven";"-0.0362387160119374";"-0.732121246131035";"0.982607037688283";"237"
"151";"rios";"-0.0362387160119374";"-0.732121246131035";"0.982607037688283";"238"
